top - 14:07:09 up 206 days,  4:35, 19 users,  load average: 9.93, 10.95, 11.39
Tasks: 1278 total,   5 running, 1272 sleeping,   0 stopped,   1 zombie
%Cpu(s): 29.8 us, 14.7 sy,  0.0 ni, 51.5 id,  4.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem : 39456400+total, 10969974+free, 34925868 used, 24993840+buff/cache
KiB Swap: 33554428 total, 32846192 free,   708236 used. 35313244+avail Mem 

   PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 56012 root      20   0 3897252 114716  33536 S 242.9  0.0  37804:11 metricbeat
  1077 rlm       20   0   93040   1788   1292 S 100.0  0.0 288973:17 rlm
  8500 weiq9     20   0 6067048   1.2g  68864 R  95.2  0.3 245158:26 gnome-shell
 47579 muellej   20   0 1118076 395572  20016 S  95.2  0.1   2387:37 tracker-store
 90224 muellej   20   0 2680564   1.6g   8748 S  95.2  0.4 152481:31 tracker-store
171859 farleik   20   0 6127476   1.2g  90536 R  95.2  0.3 218737:40 gnome-shell
197541 strasbm3  20   0 6025908 825104  74240 R  95.2  0.2 129572:09 gnome-shell
252968 filiatan  20   0 5663468 492808  75732 R  90.5  0.1  62063:14 gnome-shell
   961 dunnnm2   20   0  173500   3388   1584 R  28.6  0.0   0:00.08 top
  1150 dbus      20   0  127036  55740   1928 S  28.6  0.0   4130:38 dbus-daemon
     1 root      20   0  204840   9144   4008 S  23.8  0.0   2628:54 systemd
    81 root      20   0       0      0      0 S   4.8  0.0   3:26.71 ksoftirqd/14
 45959 muellej    0 -20 3632520 400692 113968 S   4.8  0.1  59:05.47 nxnode.bin
 47121 muellej   20   0 5792520 321328  91356 S   4.8  0.1  68:29.69 gnome-shell
101500 root      20   0 4934088   1.2g  12028 S   4.8  0.3 842:23.57 moab
150783 fitzgev   20   0 3499628 435352  80344 S   4.8  0.1   7:18.74 Web Content
179411 sabbirm   20   0 1523568   6556   4636 S   4.8  0.0   2:27.48 pulseaudio
205159 kassah     0 -20 1585252   9928   1164 S   4.8  0.0   0:33.87 nxfs
     2 root      20   0       0      0      0 S   0.0  0.0   4:59.15 kthreadd
     6 root      20   0       0      0      0 S   0.0  0.0  12:43.16 ksoftirqd/0
     7 root      rt   0       0      0      0 S   0.0  0.0   1:01.80 migration/0
     8 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_bh
     9 root      20   0       0      0      0 S   0.0  0.0   1634:54 rcu_sched
    10 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 lru-add-drain
    11 root      rt   0       0      0      0 S   0.0  0.0   0:50.87 watchdog/0
    12 root      rt   0       0      0      0 S   0.0  0.0   0:55.58 watchdog/1
    13 root      rt   0       0      0      0 S   0.0  0.0   1:55.26 migration/1
    14 root      20   0       0      0      0 S   0.0  0.0  11:55.27 ksoftirqd/1
    18 root      rt   0       0      0      0 S   0.0  0.0   1:23.39 watchdog/2
    19 root      rt   0       0      0      0 S   0.0  0.0   1:42.28 migration/2
    20 root      20   0       0      0      0 S   0.0  0.0   9:57.54 ksoftirqd/2
    23 root      rt   0       0      0      0 S   0.0  0.0   0:49.40 watchdog/3
    24 root      rt   0       0      0      0 S   0.0  0.0   1:27.94 migration/3
    25 root      20   0       0      0      0 S   0.0  0.0   8:17.58 ksoftirqd/3
    28 root      rt   0       0      0      0 S   0.0  0.0   0:49.30 watchdog/4
    29 root      rt   0       0      0      0 S   0.0  0.0   1:22.06 migration/4
    30 root      20   0       0      0      0 S   0.0  0.0   7:33.05 ksoftirqd/4
    33 root      rt   0       0      0      0 S   0.0  0.0   0:50.59 watchdog/5
    34 root      rt   0       0      0      0 S   0.0  0.0   1:18.78 migration/5
    35 root      20   0       0      0      0 S   0.0  0.0   7:07.54 ksoftirqd/5
    38 root      rt   0       0      0      0 S   0.0  0.0   0:49.68 watchdog/6
    39 root      rt   0       0      0      0 S   0.0  0.0   1:15.54 migration/6
    40 root      20   0       0      0      0 S   0.0  0.0   6:58.47 ksoftirqd/6
    43 root      rt   0       0      0      0 S   0.0  0.0   0:49.86 watchdog/7
    44 root      rt   0       0      0      0 S   0.0  0.0   1:12.93 migration/7
    45 root      20   0       0      0      0 S   0.0  0.0   6:57.52 ksoftirqd/7
    48 root      rt   0       0      0      0 S   0.0  0.0   0:49.75 watchdog/8
    49 root      rt   0       0      0      0 S   0.0  0.0   1:09.78 migration/8
    50 root      20   0       0      0      0 S   0.0  0.0   6:51.38 ksoftirqd/8
    53 root      rt   0       0      0      0 S   0.0  0.0   0:57.08 watchdog/9
    54 root      rt   0       0      0      0 S   0.0  0.0   1:08.54 migration/9
    55 root      20   0       0      0      0 S   0.0  0.0   7:04.77 ksoftirqd/9
    58 root      rt   0       0      0      0 S   0.0  0.0   0:50.80 watchdog/10
    59 root      rt   0       0      0      0 S   0.0  0.0   1:06.29 migration/10
    60 root      20   0       0      0      0 S   0.0  0.0   7:15.89 ksoftirqd/10
    63 root      rt   0       0      0      0 S   0.0  0.0   0:51.05 watchdog/11
    64 root      rt   0       0      0      0 S   0.0  0.0   1:05.39 migration/11
    65 root      20   0       0      0      0 S   0.0  0.0   7:27.52 ksoftirqd/11
    68 root      rt   0       0      0      0 S   0.0  0.0   0:45.38 watchdog/12
    69 root      rt   0       0      0      0 S   0.0  0.0   0:57.94 migration/12
    70 root      20   0       0      0      0 S   0.0  0.0   1:08.96 ksoftirqd/12
    74 root      rt   0       0      0      0 S   0.0  0.0   0:47.00 watchdog/13
    75 root      rt   0       0      0      0 S   0.0  0.0   1:58.14 migration/13
    76 root      20   0       0      0      0 S   0.0  0.0   2:17.47 ksoftirqd/13
    79 root      rt   0       0      0      0 S   0.0  0.0   0:48.94 watchdog/14
    80 root      rt   0       0      0      0 S   0.0  0.0   1:52.58 migration/14
    84 root      rt   0       0      0      0 S   0.0  0.0   0:50.03 watchdog/15
    85 root      rt   0       0      0      0 S   0.0  0.0   1:40.29 migration/15
    86 root      20   0       0      0      0 S   0.0  0.0   2:50.10 ksoftirqd/15
    88 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/15:0H
    89 root      rt   0       0      0      0 S   0.0  0.0   0:49.18 watchdog/16
    90 root      rt   0       0      0      0 S   0.0  0.0   1:29.30 migration/16
    91 root      20   0       0      0      0 S   0.0  0.0   2:28.04 ksoftirqd/16
    94 root      rt   0       0      0      0 S   0.0  0.0   0:49.62 watchdog/17
    95 root      rt   0       0      0      0 S   0.0  0.0   1:24.43 migration/17
    96 root      20   0       0      0      0 S   0.0  0.0   1:56.13 ksoftirqd/17
    98 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/17:0H
    99 root      rt   0       0      0      0 S   0.0  0.0   0:50.38 watchdog/18
   100 root      rt   0       0      0      0 S   0.0  0.0   1:18.52 migration/18
   101 root      20   0       0      0      0 S   0.0  0.0   1:38.29 ksoftirqd/18
   104 root      rt   0       0      0      0 S   0.0  0.0   0:48.45 watchdog/19
   105 root      rt   0       0      0      0 S   0.0  0.0   1:13.27 migration/19
   106 root      20   0       0      0      0 S   0.0  0.0   2:08.85 ksoftirqd/19
   109 root      rt   0       0      0      0 S   0.0  0.0   0:52.67 watchdog/20
   110 root      rt   0       0      0      0 S   0.0  0.0   1:09.46 migration/20
   111 root      20   0       0      0      0 S   0.0  0.0   1:34.43 ksoftirqd/20
   114 root      rt   0       0      0      0 S   0.0  0.0   0:49.42 watchdog/21
   115 root      rt   0       0      0      0 S   0.0  0.0   1:05.73 migration/21
   116 root      20   0       0      0      0 S   0.0  0.0   1:27.27 ksoftirqd/21
   119 root      rt   0       0      0      0 S   0.0  0.0   0:50.37 watchdog/22
   120 root      rt   0       0      0      0 S   0.0  0.0   1:03.65 migration/22
   121 root      20   0       0      0      0 S   0.0  0.0   1:17.89 ksoftirqd/22
   124 root      rt   0       0      0      0 S   0.0  0.0   0:49.06 watchdog/23
   125 root      rt   0       0      0      0 S   0.0  0.0   1:01.76 migration/23
   126 root      20   0       0      0      0 S   0.0  0.0   1:15.76 ksoftirqd/23
   128 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/23:0H
   131 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kdevtmpfs
   132 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 netns
   133 root      20   0       0      0      0 S   0.0  0.0   3:58.12 khungtaskd
   134 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 writeback
   135 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kintegrityd
   136 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   137 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   138 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   139 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kblockd
   141 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 md
   142 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 edac-poller
   143 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 watchdogd
   149 root      20   0       0      0      0 S   0.0  0.0 147:56.65 kswapd0
   150 root      20   0       0      0      0 S   0.0  0.0  40:09.60 kswapd1
   151 root      25   5       0      0      0 S   0.0  0.0   0:00.00 ksmd
   152 root      39  19       0      0      0 S   0.0  0.0   1:59.94 khugepaged
   153 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 crypto
   161 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kthrotld
   164 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kmpath_rdacd
   165 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kaluad
   189 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kpsmoused
   191 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ipv6_addrconf
   205 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 deferwq
   244 root      20   0       0      0      0 S   0.0  0.0   6:03.16 kauditd
   444 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 nfit
   471 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_0
   473 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_0
   474 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ixgbe
   475 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 i40e
   476 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ttm_swap
   490 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 poll_megasas0_s
   559 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kdmflush
   560 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   571 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kdmflush
   572 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   585 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   586 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 xfsalloc
   587 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 xfs_mru_cache
   588 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 xfs-buf/dm-0
   589 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 xfs-data/dm-0
   590 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 xfs-conv/dm-0
   591 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 xfs-cil/dm-0
   592 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 xfs-reclaim/dm-
   593 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 xfs-log/dm-0
   594 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 xfs-eofblocks/d
   595 root      20   0       0      0      0 S   0.0  0.0  76:55.25 xfsaild/dm-0
   607 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/15:0
   609 root      20   0       0      0      0 S   0.0  0.0   0:00.03 kworker/u496:1
   614 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/16:1
   618 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/3:0
   624 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/10:2
   627 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/5:1
   638 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/4:2
   656 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u498:1
   673 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/13:0
   678 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/1:1
   681 root      20   0  279612 145228 133968 S   0.0  0.0   6472:17 systemd-journal
   699 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/19:0
   706 root      20   0  201112   2460   2368 S   0.0  0.0   0:00.07 lvmetad
   725 root      20   0   48420   3104   2764 S   0.0  0.0   2:41.30 systemd-udevd
   762 root      20   0  108056    352    280 S   0.0  0.0   0:00.00 sleep
   789 root       0 -20       0      0      0 S   0.0  0.0   1:38.56 kworker/21:1H
   795 root      39  19       0      0      0 S   0.0  0.0  31:15.00 kipmi0
   800 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 irq/283-mei_me
   850 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kdmflush
   854 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kdmflush
